countries,participants,population,Gold,Silver,Bronze,total
Afghanistan,3,"3,33,69,945",0,0,0,0
Angola,25,"2,58,30,958",0,0,0,0
Albania,5,"29,03,700",0,0,0,0
United.Arab.Emirates,12,"92,66,971",0,0,1,1
Argentina,212,"4,38,47,277",3,1,0,4
Armenia,32,"30,26,048",1,3,0,4
Antarctica,0,0,0,0,0,0
French Southern and Antarctic Lands,0,0,0,0,0,0
Australia,416,"2,43,09,330",8,11,10,29
Austria,66,"85,69,633",0,0,1,1
Azerbaijan,55,"98,68,447",1,7,10,18
Burundi,9,"1,15,52,561",0,1,0,1
Belgium,106,"1,13,71,928",2,2,2,6
Benin,6,"1,11,66,658",0,0,0,0
Burkina.Faso,5,"1,86,33,725",0,0,0,0
Bangladesh,7,"16,29,10,864",0,0,0,0
Bulgaria,51,"70,97,796",0,1,2,3
The Bahamas,32,"3,92,718",1,0,1,2
Bosnia and Herzegovina,10,3802134,0,0,0,0
Belarus,119,"94,81,521",1,4,4,9
Belize,3,"3,66,942",0,0,0,0
Bermuda,7,61662,0,0,0,0
Bolivia,12,"1,08,88,402",0,0,0,0
Brazil,475,"20,95,67,920",7,6,6,19
Brunei,3,"4,28,874",0,0,0,0
Bhutan,2,"7,84,103",0,0,0,0
Botswana,10,"23,03,820",0,0,0,0
Central.African.Rep,6,4998493,0,0,0,0
Canada,312,"3,62,86,378",4,3,15,22
Switzerland,101,"83,79,477",3,2,2,7
Chile,41,"1,81,31,850",0,0,0,0
China,400,"1,38,23,23,332",26,18,26,70
Ivory.Coast,12,"2,32,54,184",1,0,1,2
Cameroon,23,"2,39,24,407",0,0,0,0
Democratic Republic of the Congo,4,"7,97,22,624",0,0,0,0
Republic of the Congo,9,"47,40,992",0,0,0,0
Colombia,144,48654392,3,2,3,8
Costa Rica,10,4857218,0,0,0,0
Cuba,118,"1,13,92,889",5,2,4,11
Northern Cyprus,0,0,0,0,0,0
Cyprus,15,"11,76,598",0,0,0,0
Czech Republic,103,"1,05,48,058",1,2,7,10
Germany,420,"8,06,82,351",17,10,15,42
Djibouti,7,899598,0,0,0,0
Denmark,121,"56,90,750",2,6,7,15
