country,sport,men,women,total,men_percent,women_percent,gold,silver,bronze  ,total1
USA,Archery,3,1,4,75,25,0,1,1,2
USA,Athletics,64,64,128,50,50,0,0,0,0
USA,Badminton,3,4,7,42.85714286,57.14285714,0,0,0,0
USA,Basketball,12,12,24,50,50,2,0,0,2
USA,Boxing,6,2,8,75,25,1,1,1,3
USA,Canoeing,3,2,5,60,40,0,0,0,0
USA,Cycling,8,13,21,38.0952381,61.9047619,2,3,0,5
USA,Diving,5,5,10,50,50,0,0,0,0
USA,Equestrian,6,6,12,50,50,0,0,0,0
USA,Fencing,6,9,15,40,60,0,0,0,0
USA,Field hockey,0,16,16,0,100,0,0,0,0
USA,Football (soccer),0,18,18,0,100,0,0,0,0
USA,Golf,4,3,7,57.14285714,42.85714286,0,0,1,1
USA,Gymnastics,6,12,18,33.33333333,66.66666667,0,0,0,0
USA,Handball,0,0,0,0,0,0,0,0,0
USA,Judo,3,3,6,50,50,1,1,0,2
USA,Modern pentathlon,1,2,3,33.33333333,66.66666667,0,0,0,0
USA,Rowing,21,20,41,51.2195122,48.7804878,1,1,0,2
USA,Rugby sevens,12,12,24,50,50,0,0,0,0
USA,Sailing,8,7,15,53.33333333,46.66666667,0,0,1,1
USA,Shooting,13,7,20,65,35,1,0,2,3
USA,Swimming,25,22,47,53.19148936,46.80851064,0,0,0,0
USA,Sync. swimming,0,2,2,0,100,0,0,0,0
USA,Table tennis,3,3,6,50,50,0,0,0,0
USA,Taekwondo,2,2,4,50,50,0,0,1,1
USA,Tennis,5,6,11,45.45454545,54.54545455,1,1,1,3
USA,Triathlon,3,3,6,50,50,1,0,0,1
USA,Volleyball,16,16,32,50,50,0,0,3,3
USA,Water polo,13,13,26,50,50,0,0,0,0
USA,Weightlifting,1,3,4,25,75,0,0,1,1
USA,Wrestling,10,4,14,71.42857143,28.57142857,2,0,1,3
CHINA,Archery,3,3,6,50,50,0,0,0,0
CHINA,Athletics,27,29,56,48.21428571,51.78571429,2,2,2,6
CHINA,Badminton,7,8,15,46.66666667,53.33333333,2,0,1,3
CHINA,Basketball,12,12,24,50,50,0,0,0,0
CHINA,Boxing,8,3,11,72.72727273,27.27272727,0,1,3,4
CHINA,Canoeing,4,6,10,40,60,0,0,0,0
CHINA,Cycling,7,10,17,41.17647059,58.82352941,1,0,0,1
CHINA,Diving,6,7,13,46.15384615,53.84615385,7,2,1,10
CHINA,Equestrian,1,0,1,100,0,0,0,0,0
CHINA,Fencing,6,7,13,46.15384615,53.84615385,0,1,1,2
CHINA,Field hockey,0,18,18,0,100,0,0,0,0
CHINA,Football (soccer),0,22,22,0,100,0,0,0,0
CHINA,Golf,2,2,4,50,50,0,0,1,1
CHINA,Gymnastics,7,13,20,35,65,0,1,4,5
CHINA,Handball,0,0,0,0,0,0,0,0,0
CHINA,Judo,2,4,6,33.33333333,66.66666667,0,0,2,2
CHINA,Modern pentathlon,2,2,4,50,50,0,0,0,0
CHINA,Rowing,7,12,19,36.84210526,63.15789474,0,0,2,2
CHINA,Rugby sevens,0,0,0,0,0,0,0,0,0
CHINA,Sailing,4,4,8,50,50,0,1,0,1
CHINA,Shooting,12,10,22,54.54545455,45.45454545,1,2,4,7
CHINA,Swimming,19,26,45,42.22222222,57.77777778,1,2,3,6
CHINA,Sync. swimming,0,9,9,0,100,0,2,0,2
CHINA,Table tennis,4,4,8,50,50,4,2,0,6
CHINA,Taekwondo,2,2,4,50,50,2,0,0,2
CHINA,Tennis,0,5,5,0,100,0,0,0,0
CHINA,Triathlon,1,1,2,50,50,0,0,0,0
CHINA,Volleyball,0,14,14,0,100,1,0,0,1
CHINA,Water polo,0,13,13,0,100,0,0,0,0
CHINA,Weightlifting,6,4,10,60,40,5,2,0,7
CHINA,Wrestling,8,5,13,61.53846154,38.46153846,0,0,2,2
GREAT BRITAIN,Archery,1,1,2,50,50,0,0,0,0
GREAT BRITAIN,Athletics,41,39,80,51.25,48.75,0,0,0,0
GREAT BRITAIN,Badminton,4,4,8,50,50,0,0,1,1
GREAT BRITAIN,Basketball,0,0,0,0,0,0,0,0,0
GREAT BRITAIN,Boxing,10,2,12,83.33333333,16.66666667,0,0,0,0
