country,sport,gold,silver,bronze  ,total
USA,Archery,0,1,1,2
,,,,,
USA,Athletics (track & field),0,0,0,0
,,,,,
USA,Badminton,0,0,0,0
,,,,,
USA,Basketball,2,0,0,2
,,,,,
USA,Boxing,1,1,1,3
,,,,,
USA,Canoeing,0,0,0,0
,,,,,
USA,Cycling,2,3,0,5
,,,,,
USA,Diving,0,0,0,0
,,,,,
USA,Equestrian,0,0,0,0
,,,,,
USA,Fencing,0,0,0,0
,,,,,
USA,Field hockey,0,0,0,0
,,,,,
USA,Football (soccer),0,0,0,0
,,,,,
USA,Golf,0,0,1,1
,,,,,
USA,Gymnastics,0,0,0,0
,,,,,
USA,Handball,0,0,0,0
,,,,,
USA,Judo,1,1,0,2
,,,,,
USA,Modern pentathlon,0,0,0,0
,,,,,
USA,Rowing,1,1,0,2
,,,,,
USA,Rugby sevens,0,0,0,0
,,,,,
USA,Sailing,0,0,1,1
,,,,,
USA,Shooting,1,0,2,3
,,,,,
USA,Swimming,0,0,0,0
,,,,,
USA,Synchronized swimming,0,0,0,0
,,,,,
USA,Table tennis,0,0,0,0
,,,,,
USA,Taekwondo,0,0,1,1
,,,,,
USA,Tennis,1,1,1,3
,,,,,
USA,Triathlon,1,0,0,1
,,,,,
USA,Volleyball,0,0,3,3
,,,,,
USA,Water polo,0,0,0,0
,,,,,
USA,Weightlifting,0,0,1,1
,,,,,
USA,Wrestling,2,0,1,3
,,,,,
CHINA,Archery,0,0,0,0
,,,,,
CHINA,Athletics (track & field),2,2,2,6
,,,,,
CHINA,Badminton,2,0,1,3
,,,,,
CHINA,Basketball,0,0,0,0
,,,,,
CHINA,Boxing,0,1,3,4
,,,,,
CHINA,Canoeing,0,0,0,0
,,,,,
CHINA,Cycling,1,0,0,1
,,,,,
CHINA,Diving,7,2,1,10
,,,,,
CHINA,Equestrian,0,0,0,0
,,,,,
CHINA,Fencing,0,1,1,2
,,,,,
CHINA,Field hockey,0,0,0,0
,,,,,
CHINA,Football (soccer),0,0,0,0
,,,,,
CHINA,Golf,0,0,1,1
,,,,,
CHINA,Gymnastics,0,1,4,5
,,,,,
CHINA,Handball,0,0,0,0
,,,,,
CHINA,Judo,0,0,2,2
,,,,,
CHINA,Modern pentathlon,0,0,0,0
,,,,,
CHINA,Rowing,0,0,2,2
,,,,,
CHINA,Rugby sevens,0,0,0,0
,,,,,
CHINA,Sailing,0,1,0,1
,,,,,
CHINA,Shooting,1,2,4,7
,,,,,
CHINA,Swimming,1,2,3,6
,,,,,
CHINA,Synchronized swimming,0,2,0,2
,,,,,
CHINA,Table tennis,4,2,0,6
,,,,,
CHINA,Taekwondo,2,0,0,2
,,,,,
CHINA,Tennis,0,0,0,0
,,,,,
CHINA,Triathlon,0,0,0,0
,,,,,
CHINA,Volleyball,1,0,0,1
,,,,,
CHINA,Water polo,0,0,0,0
,,,,,
CHINA,Weightlifting,5,2,0,7
,,,,,
CHINA,Wrestling,0,0,2,2
,,,,,
GREAT BRITAIN,Archery,0,0,0,0
,,,,,
GREAT BRITAIN,Athletics (track & field),0,0,0,0
,,,,,
GREAT BRITAIN,Badminton,0,0,1,1
,,,,,
GREAT BRITAIN,Basketball,0,0,0,0
,,,,,
GREAT BRITAIN,Boxing,0,0,0,0
,,,,,
GREAT BRITAIN,Canoeing,2,2,0,4
,,,,,
GREAT BRITAIN,Cycling,6,4,2,12
,,,,,
GREAT BRITAIN,Diving,1,1,1,3
,,,,,
GREAT BRITAIN,Equestrian,0,0,0,0
,,,,,
GREAT BRITAIN,Fencing,0,0,0,0
,,,,,
GREAT BRITAIN,Field hockey,1,0,0,1
,,,,,
GREAT BRITAIN,Football (soccer),0,0,0,0
,,,,,
GREAT BRITAIN,Golf,1,0,0,1
,,,,,
GREAT BRITAIN,Gymnastics,2,2,3,7
,,,,,
GREAT BRITAIN,Handball,0,0,0,0
,,,,,
GREAT BRITAIN,Judo,0,0,1,1
,,,,,
GREAT BRITAIN,Modern pentathlon,0,0,0,0
,,,,,
GREAT BRITAIN,Rowing,3,2,0,5
,,,,,
GREAT BRITAIN,Rugby sevens,0,1,0,1
,,,,,
GREAT BRITAIN,Sailing,0,0,0,0
,,,,,
GREAT BRITAIN,Shooting,0,0,2,2
,,,,,
GREAT BRITAIN,Swimming,0,0,0,0
,,,,,
GREAT BRITAIN,Synchronized swimming,0,0,0,0
,,,,,
GREAT BRITAIN,Table tennis,0,0,0,0
,,,,,
GREAT BRITAIN,Taekwondo,1,1,1,3
,,,,,
GREAT BRITAIN,Tennis,1,0,0,1
,,,,,
GREAT BRITAIN,Triathlon,1,1,1,3
,,,,,
GREAT BRITAIN,Volleyball,0,0,0,0
,,,,,
GREAT BRITAIN,Water polo,0,0,0,0
,,,,,
GREAT BRITAIN,Weightlifting,0,0,0,0
,,,,,
GREAT BRITAIN,Wrestling,0,0,0,0
,,,,,
RUSSIA,Archery,0,1,0,1
,,,,,
RUSSIA,Athletics (track & field),0,0,0,0
,,,,,
RUSSIA,Badminton,0,0,0,0
,,,,,
RUSSIA,Basketball,0,0,0,0
,,,,,
RUSSIA,Boxing,1,0,3,4
,,,,,
RUSSIA,Canoeing,0,0,1,1
,,,,,
RUSSIA,Cycling,0,2,1,3
,,,,,
RUSSIA,Diving,0,0,0,0
,,,,,
RUSSIA,Equestrian,0,0,0,0
,,,,,
RUSSIA,Fencing,4,1,2,7
,,,,,
RUSSIA,Field hockey,0,0,0,0
,,,,,
RUSSIA,Football (soccer),0,0,0,0
,,,,,
RUSSIA,Golf,0,0,0,0
,,,,,
RUSSIA,Gymnastics,3,5,3,11
,,,,,
RUSSIA,Handball,1,0,0,1
,,,,,
RUSSIA,Judo,2,0,1,3
,,,,,
RUSSIA,Modern pentathlon,1,0,0,1
,,,,,
RUSSIA,Rowing,0,0,0,0
,,,,,
RUSSIA,Rugby sevens,0,0,0,0
,,,,,
RUSSIA,Sailing,0,0,1,1
,,,,,
RUSSIA,Shooting,0,2,2,4
,,,,,
RUSSIA,Swimming,0,2,2,4
,,,,,
RUSSIA,Synchronized swimming,2,0,0,2
,,,,,
RUSSIA,Table tennis,0,0,0,0
,,,,,
RUSSIA,Taekwondo,0,1,0,1
,,,,,
RUSSIA,Tennis,1,0,0,1
,,,,,
RUSSIA,Triathlon,0,0,0,0
,,,,,
RUSSIA,Volleyball,0,0,0,0
,,,,,
RUSSIA,Water polo,0,0,1,1
,,,,,
RUSSIA,Weightlifting,0,0,0,0
,,,,,
RUSSIA,Wrestling,4,3,2,9
,,,,,
GERMANY,Archery,0,1,0,1
,,,,,
GERMANY,Athletics (track & field),2,0,1,3
,,,,,
GERMANY,Badminton,0,0,0,0
,,,,,
GERMANY,Basketball,0,0,0,0
,,,,,
