Sport,Gender,Event,Medal,Team
Athletics,M,100m,GOLD,United States
Athletics,M,100m,SILVER,Germany
Athletics,M,100m,BRONZE,United States
Athletics,M,100m,BRONZE,Hungary
Athletics,M,400m,GOLD,United States
Athletics,M,400m,SILVER,United States
Athletics,M,400m,BRONZE,Great Britain
Athletics,M,800m,GOLD,Austria
Athletics,M,800m,SILVER,Hungary
Athletics,M,800m,BRONZE,Greece
Athletics,M,1500m,GOLD,Austria
Athletics,M,1500m,SILVER,United States
Athletics,M,1500m,BRONZE,Germany
Athletics,M,Marathon,GOLD,Greece
Athletics,M,Marathon,SILVER,Greece
Athletics,M,Marathon,BRONZE,Hungary
Athletics,M,110m Hurdles,GOLD,United States
Athletics,M,110m Hurdles,SILVER,Great Britain
Athletics,M,High Jump,GOLD,United States
Athletics,M,High Jump,SILVER,United States
Athletics,M,Long Jump,GOLD,United States
Athletics,M,Long Jump,SILVER,United States
Athletics,M,Long Jump,BRONZE,United States
Athletics,M,Pole Vault,GOLD,United States
Athletics,M,Pole Vault,SILVER,United States
Athletics,M,Pole Vault,BRONZE,Greece
Athletics,M,Triple Jump,GOLD,United States
Athletics,M,Triple Jump,SILVER,Germany
Athletics,M,Triple Jump,BRONZE,Greece
Athletics,M,Discus Throw,GOLD,United States
Athletics,M,Discus Throw,SILVER,Greece
Athletics,M,Discus Throw,BRONZE,Greece
Athletics,M,Shot Put,GOLD,United States
Athletics,M,Shot Put,SILVER,Greece
Athletics,M,Shot Put,BRONZE,Greece
Cycling,M,Individual Road Race,GOLD,Greece
Cycling,M,Individual Road Race,SILVER,Germany
Cycling,M,Individual Road Race,BRONZE,Great Britain
Cycling,M,Individual Sprint,GOLD,Germany
Cycling,M,Individual Sprint,SILVER,Greece
Cycling,M,Individual Sprint,BRONZE,Germany
Cycling,M,One-Lap Race,GOLD,Germany
Cycling,M,One-Lap Race,SILVER,Greece
Cycling,M,One-Lap Race,BRONZE,Austria
Cycling,M,10km Track Race,GOLD,Germany
Cycling,M,10km Track Race,SILVER,Germany
Cycling,M,10km Track Race,BRONZE,Austria
Cycling,M,100km Track Race,GOLD,Germany
Cycling,M,100km Track Race,SILVER,Greece
Cycling,M,12-Hour Race,GOLD,Austria
Cycling,M,12-Hour Race,SILVER,Great Britain
Fencing,M,"Foil, Individual",GOLD,Germany
Fencing,M,"Foil, Individual",SILVER,Germany
Fencing,M,"Foil, Individual",BRONZE,Greece
Fencing,M,"Foil, Masters",GOLD,Greece
Fencing,M,"Foil, Masters",SILVER,Germany
Fencing,M,"Sabre, Individual",GOLD,Greece
Fencing,M,"Sabre, Individual",SILVER,Greece
Fencing,M,"Sabre, Individual",BRONZE,Denmark
Gymnastics,M,Horizontal Bar,GOLD,Germany
Gymnastics,M,Horizontal Bar,SILVER,Germany
Gymnastics,M,Horizontal Bar Team,GOLD,Germany
Gymnastics,M,Horse Vault,GOLD,Germany
Gymnastics,M,Horse Vault,SILVER,Switzerland
Gymnastics,M,Horse Vault,BRONZE,Germany
Gymnastics,M,Parallel Bars,GOLD,Germany
Gymnastics,M,Parallel Bars,SILVER,Switzerland
Gymnastics,M,Parallel Bars Team,GOLD,Germany
Gymnastics,M,Parallel Bars Team,SILVER,Greece
Gymnastics,M,Parallel Bars Team,BRONZE,Greece
Gymnastics,M,Pommelled Horse,GOLD,Switzerland
Gymnastics,M,Pommelled Horse,SILVER,Germany
Gymnastics,M,Rings,GOLD,Greece
Gymnastics,M,Rings,SILVER,Germany
Gymnastics,M,Rings,BRONZE,Greece
Gymnastics,M,Rope climbing,GOLD,Greece
Gymnastics,M,Rope climbing,SILVER,Greece
Gymnastics,M,Rope climbing,BRONZE,Germany
Shooting,M,25m Military Pistol,GOLD,United States
Shooting,M,25m Military Pistol,SILVER,United States
Shooting,M,25m Military Pistol,BRONZE,Greece
Shooting,M,25m Muzzle-Loading Pistol,GOLD,Greece
Shooting,M,25m Muzzle-Loading Pistol,SILVER,Greece
Shooting,M,25m Muzzle-Loading Pistol,BRONZE,Denmark
Shooting,M,30m Free Pistol,GOLD,United States
Shooting,M,30m Free Pistol,SILVER,Denmark
Shooting,M,30m Free Pistol,BRONZE,Greece
Shooting,M,200m Military Rifle,GOLD,Greece
Shooting,M,200m Military Rifle,SILVER,Greece
Shooting,M,200m Military Rifle,BRONZE,Greece
Shooting,M,"300m Free Rifle, 3 Positions",GOLD,Greece
Shooting,M,"300m Free Rifle, 3 Positions",SILVER,Greece
Shooting,M,"300m Free Rifle, 3 Positions",BRONZE,Denmark
Swimming,M,100m Freestyle,GOLD,Hungary
Swimming,M,100m Freestyle,SILVER,Austria
Swimming,M,100m Freestyle for Sailors,GOLD,Greece
Swimming,M,100m Freestyle for Sailors,SILVER,Greece
Swimming,M,100m Freestyle for Sailors,BRONZE,Greece
Swimming,M,500m Freestyle ,GOLD,Austria
Swimming,M,500m Freestyle ,SILVER,Greece
Swimming,M,500m Freestyle ,BRONZE,Greece
Swimming,M,1200m Freestyle ,GOLD,Hungary
Swimming,M,1200m Freestyle ,SILVER,Greece
Swimming,M,1200m Freestyle ,BRONZE,Greece
Tennis,M,Singles,GOLD,Great Britain
Tennis,M,Singles,SILVER,Greece
Tennis,M,Singles,BRONZE,Greece
Tennis,M,Singles,BRONZE,Hungary
Tennis,M,Doubles,GOLD,Great Britain
Tennis,M,Doubles,GOLD,Germany
Tennis,M,Doubles,SILVER,Egypt
Tennis,M,Doubles,SILVER,Greece
Tennis,M,Doubles,BRONZE,Australia
Tennis,M,Doubles,BRONZE,Great Britain
Weightlifting,M,Heavyweight,GOLD,Denmark
Weightlifting,M,Heavyweight,SILVER,Great Britain
