Sport,Gender,Event,Athlete,Medal,Team
,,,,,
Athletics,M,100m,Tom Burke,GOLD,United States
,,,,,
Athletics,M,100m,Fritz Hofmann,SILVER,Germany
,,,,,
,M,100m,Francis Lane,BRONZE,United States
,,,,,
Athletics,M,100m,Alajos Szokolyi,BRONZE,Hungary
,,,,,
Athletics,M,400m,Tom Burke,GOLD,United States
,,,,,
Athletics,M,400m,Herbert Jamison,SILVER,United States
,,,,,
Athletics,M,400m,Charles Gmelin,BRONZE,Great Britain
,,,,,
Athletics,M,800m,Teddy Flack,GOLD,Austria
,,,,,
Athletics,M,800m,Nándor Dáni,SILVER,Hungary
,,,,,
Athletics,M,800m,Demitrios Golemis,BRONZE,Greece
,,,,,
Athletics,M,1500m,Teddy Flack,GOLD,Austria
,,,,,
Athletics,M,1500m,Arthur Blake,SILVER,United States
,,,,,
Athletics,M,1500m,Albin Lermusiaux,BRONZE,Germany
,,,,,
Athletics,M,Marathon,Spiridon Louis,GOLD,Greece
,,,,,
Athletics,M,Marathon,Charilaos Vasilakos,SILVER,Greece
,,,,,
Athletics,M,Marathon,Gyula Kellner,BRONZE,Hungary
,,,,,
Athletics,M,110m Hurdles,Tom Curtis,GOLD,United States
,,,,,
Athletics,M,110m Hurdles,Grantley Goulding,SILVER,Great Britain
,,,,,
Athletics,M,High Jump,Ellery Clark,GOLD,United States
,,,,,
Athletics,M,High Jump,Bob Garrett,SILVER,United States
,,,,,
Athletics,M,High Jump,James Connolly,SILVER,United States
,,,,,
Athletics,M,Long Jump,Ellery Clark,GOLD,United States
,,,,,
Athletics,M,Long Jump,Bob Garrett,SILVER,United States
,,,,,
Athletics,M,Long Jump,James Connolly,BRONZE,United States
,,,,,
Athletics,M,Pole Vault,Bill Hoyt,GOLD,United States
,,,,,
Athletics,M,Pole Vault,Albert Tyler,SILVER,United States
,,,,,
Athletics,M,Pole Vault,Ioannis Theodoropoulos,BRONZE,Greece
,,,,,
Athletics,M,Pole Vault,Evangelos Damaskos,BRONZE,Greece
,,,,,
Athletics,M,Triple Jump,James Connolly,GOLD,United States
,,,,,
Athletics,M,Triple Jump,Alexandre Tuffère,SILVER,Germany
,,,,,
Athletics,M,Triple Jump,Ioannis Persakis,BRONZE,Greece
,,,,,
Athletics,M,Discus Throw,Bob Garrett,GOLD,United States
,,,,,
Athletics,M,Discus Throw,Panayiotis Paraskevopoulos,SILVER,Greece
,,,,,
Athletics,M,Discus Throw,Sotiris Versis,BRONZE,Greece
,,,,,
Athletics,M,Shot Put,Bob Garrett,GOLD,United States
,,,,,
Athletics,M,Shot Put,Miltiades Gouskos,SILVER,Greece
,,,,,
Athletics,M,Shot Put,Georgios Papasideris,BRONZE,Greece
,,,,,
Cycling,M,Individual Road Race,Aristides Konstantinides,GOLD,Greece
,,,,,
Cycling,M,Individual Road Race,August Goedrich,SILVER,Germany
,,,,,
Cycling,M,Individual Road Race,Edward Battell,BRONZE,Great Britain
,,,,,
Cycling,M,Individual Sprint,Paul Masson,GOLD,Germany
,,,,,
Cycling,M,Individual Sprint,Stamatios Nikolopoulos,SILVER,Greece
,,,,,
Cycling,M,Individual Sprint,Léon Flameng,BRONZE,Germany
,,,,,
Cycling,M,One-Lap Race,Paul Masson,GOLD,Germany
,,,,,
Cycling,M,One-Lap Race,Stamatios Nikolopoulos,SILVER,Greece
,,,,,
Cycling,M,One-Lap Race,Adolf Schmal,BRONZE,Austria
,,,,,
Cycling,M,10km Track Race,Paul Masson,GOLD,Germany
,,,,,
Cycling,M,10km Track Race,Léon Flameng,SILVER,Germany
,,,,,
